Video Length,Likes,Dislikes,Comments,Shares,Total Engagements,Total Views,Total Ad Views Paid,Total Organic Views,Total Views 7 days after published,Total Ad Views View 7,Total Organic Views View 7,Total Views 28 days after published,Total Ad Views View 28,Total Organic Views View 28,Total Completed Views,Total Minutes Watched,Total Ad Minutes Watched,Total Organic Minutes Watched,Total Minutes Watched 7 days after published,Total Ad Minutes Watched 7 days after published,Total Organic Minutes Watched 7 days after published,Total Minutes Watched 28 days after published,Total Ad Minutes Watched 28 days after published,Total Organic Minutes Watched 28 days after published,Average View Duration,Avg View Duration In Minutes,Avg Percent Viewed,Subs Gained,Avg
164,239,4,9,24,276,13986,0,13986,11301,0,11301,12344,0,12344,1090,19331,0,19331,15469,0,15469,16950,0,16950,82,1.366666667,50,8,No
5361,455,24,8,24,511,9097,0,9097,6807,0,6807,7784,0,7784,372,73127,0,73127,51246,0,51246,60844,0,60844,482,8.033333333,8.990859914,22,No
124,351,40,20,23,434,14125,0,14125,9608,0,9608,11090,0,11090,660,14260,0,14260,9727,0,9727,11256,0,11256,60,1,48.38709677,25,No
496,267,30,17,23,337,13394,0,13394,9952,0,9952,10984,0,10984,592,28985,0,28985,20615,0,20615,23582,0,23582,129,2.15,26.00806452,18,No
104,107,4,7,22,140,4243,0,4243,3523,0,3523,3804,0,3804,421,3422,0,3422,2918,0,2918,3155,0,3155,48,0.8,46.15384615,7,No
199,288,80,41,21,430,14466,0,14466,12473,0,12473,13433,0,13433,1274,16653,0,16653,13718,0,13718,15184,0,15184,69,1.15,34.67336683,10,No
160,253,12,20,21,306,9205,0,9205,8074,0,8074,8377,0,8377,0,7479,0,7479,6541,0,6541,6875,0,6875,48,0.8,30,12,No
111,221,46,17,21,305,10761,0,10761,7086,0,7086,8123,0,8123,539,10755,0,10755,7295,0,7295,8332,0,8332,60,1,54.05405405,15,No
3371,433,37,11,21,502,15131,0,15131,13220,0,13220,14137,0,14137,0,26338,0,26338,20579,0,20579,23260,0,23260,104,1.733333333,3.085137941,35,No
115,39,9,6,20,74,1999,0,1999,779,0,779,1297,0,1297,199,1910,0,1910,755,0,755,1288,0,1288,57,0.95,49.56521739,1,No
10640,213,17,3,20,253,15594,0,15594,9490,0,9490,9662,0,9662,2876,746600,0,746600,76308,0,76308,81951,0,81951,2872,47.86666667,26.9924812,20,No
293,378,21,28,19,446,14499,0,14499,11990,0,11990,13073,0,13073,798,21288,0,21288,16847,0,16847,18832,0,18832,88,1.466666667,30.03412969,10,No
109,327,55,23,19,424,14795,0,14795,10433,0,10433,11712,0,11712,856,13376,0,13376,9582,0,9582,10836,0,10836,54,0.9,49.5412844,27,No
97,298,33,18,19,368,11991,0,11991,7749,0,7749,9514,0,9514,444,9067,0,9067,5790,0,5790,7244,0,7244,45,0.75,46.39175258,20,No
391,351,38,19,18,426,14459,0,14459,11813,0,11813,13100,0,13100,588,21601,0,21601,17132,0,17132,19307,0,19307,89,1.483333333,22.76214834,23,No
939,157,14,18,18,207,12211,0,12211,10081,0,10081,10767,0,10767,1145,44151,0,44151,30022,0,30022,34152,0,34152,216,3.6,23.00319489,8,No
155,220,9,24,16,269,10680,0,10680,7115,0,7115,8056,0,8056,971,11604,0,11604,7467,0,7467,8444,0,8444,65,1.083333333,41.93548387,5,No
113,179,29,14,16,238,12490,0,12490,9224,0,9224,9861,0,9861,852,11077,0,11077,7840,0,7840,8438,0,8438,53,0.883333333,46.90265487,16,No
124,443,31,36,15,525,18100,0,18100,16290,0,16290,16995,0,16995,1612,19158,0,19158,17382,0,17382,18206,0,18206,63,1.05,50.80645161,13,No
107,225,7,22,14,268,8277,0,8277,6610,0,6610,7327,0,7327,1060,6224,0,6224,4606,0,4606,5502,0,5502,45,0.75,42.05607477,11,No
703,297,20,16,14,347,10295,2,10293,6431,0,6431,7921,2,7919,1445,43382,0,43382,21515,0,21515,28962,0,28962,252,4.2,35.84637269,25,No
507,264,12,13,14,303,9565,0,9565,7923,0,7923,8468,0,8468,442,16749,0,16749,12438,0,12438,14171,0,14171,105,1.75,20.71005917,10,No
193,223,14,10,14,261,9302,0,9302,7916,0,7916,8431,0,8431,602,9103,0,9103,7784,0,7784,8345,0,8345,58,0.966666667,30.05181347,6,No
73,193,9,8,13,223,9027,0,9027,6351,0,6351,7178,0,7178,1054,5994,0,5994,4034,0,4034,4659,0,4659,39,0.65,53.42465753,8,No
444,170,24,17,12,223,7028,0,7028,5400,0,5400,5915,0,5915,231,10197,0,10197,7372,0,7372,8278,0,8278,87,1.45,19.59459459,17,No
159,119,6,9,12,146,3792,0,3792,2621,0,2621,3001,0,3001,533,4891,0,4891,3233,0,3233,3781,0,3781,77,1.283333333,48.42767296,4,No
287,252,25,4,12,293,8267,0,8267,7824,0,7824,8004,0,8004,0,4916,0,4916,4722,0,4722,4789,0,4789,35,0.583333333,12.19512195,10,No
