Video Length,Likes,Dislikes,Comments,Shares,Total Engagements,Total Views,Total Ad Views Paid,Total Organic Views,Total Views 7 days after published,Total Ad Views View 7,Total Organic Views View 7,Total Views 28 days after published,Total Ad Views View 28,Total Organic Views View 28,Total Completed Views,Total Minutes Watched,Total Ad Minutes Watched,Total Organic Minutes Watched,Total Minutes Watched 7 days after published,Total Ad Minutes Watched 7 days after published,Total Organic Minutes Watched 7 days after published,Total Minutes Watched 28 days after published,Total Ad Minutes Watched 28 days after published,Total Organic Minutes Watched 28 days after published,Average View Duration,Avg View Duration In Minutes,Avg Percent Viewed,Subs Gained,Avg
137,3,0,3,12,18,870,0,870,6,0,6,587,0,587,181,1449,0,1449,5,0,5,956,0,956,100,1.666666667,72.99270073,1,No
136,26,6,2,12,46,1850,0,1850,1557,0,1557,1601,0,1601,262,2498,0,2498,1995,0,1995,2064,0,2064,81,1.35,59.55882353,2,No
726,486,29,32,11,558,20756,0,20756,17607,0,17607,19475,0,19475,1193,51600,0,51600,38821,0,38821,46669,0,46669,149,2.483333333,20.52341598,39,No
293,200,16,12,11,239,6477,0,6477,5523,0,5523,5853,0,5853,550,7290,0,7290,5237,0,5237,6017,0,6017,67,1.116666667,22.8668942,7,No
431,73,13,9,11,106,4101,0,4101,3037,0,3037,3391,0,3391,307,8098,0,8098,5610,0,5610,6401,0,6401,118,1.966666667,27.37819026,5,No
165,212,31,28,9,280,10646,0,10646,8289,0,8289,9285,0,9285,814,12600,0,12600,9189,0,9189,10672,0,10672,71,1.183333333,43.03030303,14,No
536,101,5,16,9,131,1321,0,1321,1321,0,1321,1321,0,1321,54,3686,0,3686,3686,0,3686,3686,0,3686,167,2.783333333,31.15671642,2,No
118,28,1,5,9,43,1947,0,1947,1351,0,1351,1400,0,1400,259,2348,0,2348,1594,0,1594,1662,0,1662,72,1.2,61.01694915,8,No
414,310,31,17,8,366,7781,0,7781,5623,0,5623,6340,0,6340,395,15851,0,15851,10947,0,10947,12945,0,12945,122,2.033333333,29.46859903,8,No
1047,112,13,9,8,142,7058,0,7058,6157,0,6157,6509,0,6509,702,32103,0,32103,23292,0,23292,26133,0,26133,272,4.533333333,25.97898758,7,No
158,105,8,4,7,124,4343,0,4343,3157,0,3157,3602,0,3602,314,5019,0,5019,3792,0,3792,4320,0,4320,69,1.15,43.67088608,4,No
85,11,1,0,7,19,1368,0,1368,1068,0,1068,1109,0,1109,225,1209,0,1209,900,0,900,938,0,938,53,0.883333333,62.35294118,3,No
1051,78,13,8,6,105,9699,0,9699,6130,0,6130,8359,0,8359,0,34722,0,34722,18161,0,18161,26885,0,26885,214,3.566666667,20.36156042,7,No
110,90,4,5,5,104,2113,0,2113,2113,0,2113,2113,0,2113,253,1980,0,1980,1980,0,1980,1980,0,1980,56,0.933333333,50.90909091,3,No
499,48,16,5,5,74,1558,0,1558,1020,0,1020,1225,0,1225,43,3925,0,3925,2558,0,2558,3075,0,3075,151,2.516666667,30.26052104,4,No
114,9,1,0,5,15,1186,0,1186,158,0,158,250,0,250,45,1101,0,1101,190,0,190,302,0,302,55,0.916666667,48.24561404,3,No
162,10,2,0,5,17,2555,0,2555,165,0,165,289,0,289,30,3039,0,3039,276,0,276,484,0,484,71,1.183333333,43.82716049,4,No
179,152,16,14,4,186,8053,0,8053,7369,0,7369,7732,0,7732,559,6816,0,6816,5958,0,5958,6445,0,6445,50,0.833333333,27.93296089,11,No
124,4,1,0,4,9,981,0,981,205,0,205,259,0,259,45,1363,0,1363,273,0,273,353,0,353,83,1.383333333,66.93548387,2,No
92,9,0,1,3,13,1189,0,1189,166,0,166,265,0,265,35,967,0,967,151,0,151,240,0,240,49,0.816666667,53.26086957,1,No
59,0,0,0,3,3,155,0,155,69,0,69,130,0,130,0,103,0,103,47,0,47,85,0,85,40,0.666666667,67.79661017,0,No
95,7,1,0,3,11,656,0,656,125,0,125,179,0,179,25,665,0,665,130,0,130,192,0,192,61,1.016666667,64.21052632,1,No
109,13,1,0,3,17,603,0,603,268,0,268,308,0,308,39,795,0,795,344,0,344,394,0,394,79,1.316666667,72.47706422,1,No
86,6,0,0,3,9,1031,0,1031,190,0,190,279,0,279,52,1000,0,1000,185,0,185,272,0,272,58,0.966666667,67.44186047,4,No
77,9,1,1,2,13,1062,0,1062,266,0,266,426,0,426,92,1050,0,1050,251,0,251,408,0,408,59,0.983333333,76.62337662,1,No
80,1,0,1,2,4,226,0,226,186,0,186,226,0,226,30,205,0,205,167,0,167,205,0,205,55,0.916666667,68.75,0,No
9619,0,0,0,2,2,18,0,18,16,0,16,16,0,16,0,177,0,177,175,0,175,175,0,175,596,9.933333333,6.196070278,0,No
83,7,1,0,2,10,434,0,434,103,0,103,138,0,138,1,400,0,400,76,0,76,107,0,107,55,0.916666667,66.26506024,0,No
132,6,0,0,2,8,876,0,876,190,0,190,244,0,244,48,1283,0,1283,258,0,258,339,0,339,88,1.466666667,66.66666667,2,No
88,9,3,0,2,14,1073,0,1073,137,0,137,190,0,190,21,766,0,766,120,0,120,173,0,173,43,0.716666667,48.86363636,5,No
98,10,0,0,2,12,759,0,759,249,0,249,337,0,337,71,871,0,871,270,0,270,372,0,372,69,1.15,70.40816327,2,No
61,0,0,0,2,2,48,0,48,33,0,33,38,0,38,0,29,0,29,21,0,21,25,0,25,38,0.633333333,62.29508197,0,No
78,3,1,1,1,6,574,0,574,146,0,146,177,0,177,25,444,0,444,115,0,115,142,0,142,46,0.766666667,58.97435897,1,No
180,9,0,1,1,11,776,0,776,14,0,14,15,0,15,5,1364,0,1364,1,0,1,1,0,1,105,1.75,58.33333333,1,No
163,0,0,0,1,1,10,0,10,1,0,1,9,0,9,0,3,0,3,0,0,0,1,0,1,21,0.35,12.88343558,0,No
105,0,0,0,1,1,463,0,463,299,0,299,324,0,324,157,681,0,681,447,0,447,472,0,472,88,1.466666667,83.80952381,0,No
95,5,0,0,1,6,384,0,384,157,0,157,214,0,214,56,385,0,385,145,0,145,190,0,190,61,1.016666667,64.21052632,0,No
32,0,0,0,1,1,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0.05,9.375,0,No
90,2,0,0,1,3,392,0,392,179,0,179,329,0,329,68,415,0,415,189,0,189,352,0,352,64,1.066666667,71.11111111,0,No
147,0,0,0,1,1,9,0,9,8,0,8,9,0,9,0,0,0,0,0,0,0,0,0,0,4,0.066666667,2.721088435,0,No
114,0,0,0,1,1,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,7,0.116666667,6.140350877,0,No
